80;0
154;0
228;0
287;0
294;0
302;1
307;1
311;0
319;0
323;1
327;2
331;1
336;0
340;1
345;0
353;0
362;0
372;1
376;1
381;0
389;0
393;1
397;2
401;1
406;0
409;0
414;1
422;0
430;0
438;1
442;1
446;0
454;0
458;1
462;2
466;1
470;0
474;1
478;0
487;0
495;0
503;1
507;1
511;0
519;0
523;1
527;2
531;1
535;0
538;1
542;0
551;0
559;0
567;1
572;1
576;0
584;0
588;1
592;2
596;1
600;0
604;1
608;0
617;0
624;0
633;1
637;1
641;0
649;0
653;1
657;2
660;1
664;0
669;1
673;0
681;0
690;0
697;1
701;1
706;0
714;0
718;1
722;2
725;1
729;0
734;1
738;0
745;0
754;0
758;1
766;2
772;1
777;2
780;3
784;2
792;2
794;1
797;2
801;3
805;2
808;1
813;0
820;1
828;2
836;1
840;2
843;3
847;2
855;1
859;0
862;1
864;2
867;1
870;2
876;2
882;1
890;1
898;0
902;1
906;1
909;1
932;0
941;0
948;1
953;1
957;0
965;0
968;1
972;2
976;1
980;0
984;1
988;0
995;0
1004;0
1014;1
1017;1
1020;0
1027;0
1031;1
1035;2
1039;1
1043;0
1047;0
1051;0
1058;0
1066;0
1073;1
1077;1
1081;0
1090;0
1093;1
1097;2
1101;1
1105;0
1108;1
1112;0
1121;0
1129;0
1136;1
1140;1
1144;0
1152;0
1156;1
1159;2
1163;1
1167;0
1171;1
1175;0
1183;0
1214;1
1244;0
1248;0
1252;1
1254;2
1256;3
1260;2
1261;1
1263;2
1267;2
1269;3
1270;2
1273;1
1277;1
1281;2
1283;3
1285;2
1289;2
1291;3
1293;2
1297;2
1298;3
1300;2
1304;1
1335;0
1365;0
1369;0
1373;1
1375;2
1377;3
1380;2
1382;1
1384;2
1388;1
1390;0
1392;1
1396;2
1399;2
1402;3
1404;2
1407;1
1411;2
1414;1
1418;2
1420;3
1422;2
1426;0
1434;1
1442;1
1446;0
1450;0
1458;0
1461;1
1465;2
1469;1
1473;0
1477;1
1480;0
1488;0
1498;1
1505;1
1508;0
1512;1
1513;0
1520;0
1523;1
1527;2
1531;1
1535;0
1539;1
1542;0
1551;0
1559;0
1567;1
1570;1
1574;0
1582;0
1585;1
1589;2
1593;1
1597;0
1601;1
1605;0
1613;0
1621;0
1629;1
1633;1
1637;0
1645;0
1649;1
1652;2
1656;1
1660;0
1664;1
1668;0
1676;0
1707;1
1738;1
1742;1
1746;2
1748;2
1749;2
1752;0
1754;1
1756;2
1760;1
1762;2
1764;3
1768;2
1771;2
1775;1
1777;2
1779;3
1783;2
1785;1
1787;0
1790;1
1792;2
1794;1
1798;2
1828;1
1860;1
1863;1
1867;2
1869;1
1871;2
1874;0
1876;1
1878;2
1882;3
1884;2
1886;1
1889;1
1893;1
1897;2
1899;3
1901;2
1904;1
1906;0
1909;1
1912;2
1914;1
1916;2
1921;1
1923;0
1926;1
1929;2
1933;3
1936;2
1939;1
1941;2
1945;3
1949;2
1950;1
1954;0
1958;1
1961;2
1964;3
1968;2
1969;1
1973;2
1977;1
1979;1
1983;0
1985;1
1987;2
1990;3
1992;2
1994;1
1996;2
1998;1
2000;0
2001;1
2004;2
2006;3
2009;2
2011;1
2013;2
2015;2
2017;3
2019;2
2021;1
2024;2
2026;3
2029;2
2030;1
2032;2
2034;0
2037;1
2040;2
2042;3
2045;2
2046;1
2048;2
2052;1
2054;2
2056;0
2059;1
2062;2
2065;0
2068;1
2070;2
2072;1
2075;1
2080;2
2083;3
2086;2
2090;2
2093;1
2097;1
2101;1
2104;0
2106;1
2108;2
2110;1
2112;2
2116;2
2119;3
2123;2
2126;1
2129;2
2133;1
2137;2
2140;3
2144;2
2148;1
2149;2
2154;2
2159;2
2164;2
2169;2
2173;2
2177;1
2182;1
2188;1
2193;1
2198;1
2202;1
2206;0
2208;1
2211;2
2215;3
2218;2
2221;1
2225;0
